"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FKBP1A",3.02314654633459e-20,1.09936413920081,0.293,0.136,6.60678446235962e-16,"9","FKBP1A"
"CFL1",5.49661691191432e-20,0.896236547623121,0.384,0.206,1.20123065992976e-15,"9","CFL1"
"MTDH",9.78991276066514e-20,0.863269915921786,0.254,0.111,2.13948753471576e-15,"9","MTDH"
"HMGB1",1.12178656326863e-19,0.898814877574597,0.391,0.213,2.45155235536727e-15,"9","HMGB1"
"RPS15A2",1.54418615350775e-19,0.829574885841768,0.467,0.274,3.37466441987584e-15,"9","RPS15A"
"PGAM1",1.59596819857885e-19,0.791277418247222,0.372,0.194,3.48782890117423e-15,"9","PGAM1"
"BTF3",1.95655279120013e-19,0.883085703709934,0.347,0.178,4.27585046988877e-15,"9","BTF3"
"EEF22",2.68568205128855e-19,0.818088697114441,0.381,0.207,5.86928955488601e-15,"9","EEF2"
"RPS272",9.9722066948625e-19,0.836800323817085,0.477,0.287,2.17932605109525e-14,"9","RPS27"
"EGR1",4.19457687442398e-18,0.870429854386644,0.274,0.127,9.16682830136616e-14,"9","EGR1"
"FTL2",4.2575676095853e-18,0.598683235664997,0.67,0.47,9.30448825398771e-14,"9","FTL"
"NACA1",4.3408677733568e-18,0.816443177303742,0.43,0.251,9.48653243189395e-14,"9","NACA"
"RPLP03",1.77489346409145e-17,0.751505146795831,0.484,0.304,3.87885217642546e-13,"9","RPLP0"
"EIF5A2",1.85315077232198e-17,0.823212192819834,0.259,0.123,4.04987569783246e-13,"9","EIF5A"
"RPS72",1.85340485268891e-17,0.746932125398854,0.587,0.408,4.05043096506633e-13,"9","RPS7"
"RHOA",2.01783253740138e-17,0.687716770817157,0.557,0.346,4.40977122723697e-13,"9","RHOA"
"FAU2",2.67631092479457e-17,0.694119652342423,0.416,0.236,5.84880989504606e-13,"9","FAU"
"TMSB4X2",2.7934478381086e-17,0.595457703095141,0.572,0.365,6.10480090540253e-13,"9","TMSB4X"
"ZFP36L11",3.44440520120006e-17,0.502645958897338,0.308,0.144,7.52740312670261e-13,"9","ZFP36L1"
"RPL232",3.68347297321315e-17,0.676651999630062,0.626,0.445,8.04986183566001e-13,"9","RPL23"
"RPL13A3",4.59809307038978e-17,0.749281671921238,0.606,0.422,1.00486725960298e-12,"9","RPL13A"
"RPL133",4.80759545102598e-17,0.64854247824135,0.704,0.531,1.05065190986722e-12,"9","RPL13"
"CTSB1",4.86590465561804e-17,0.573827785108402,0.33,0.171,1.06339480343877e-12,"9","CTSB"
"NME22",4.86844074140408e-17,0.553055574033429,0.257,0.12,1.06394903962645e-12,"9","NME2"
"RPS141",1.12369077801151e-16,0.636839020345135,0.692,0.496,2.45571382626636e-12,"9","RPS14"
"RPL72",1.33829570621488e-16,0.634591153471437,0.589,0.393,2.924711436362e-12,"9","RPL7"
"RPLP22",1.43576508653984e-16,0.797103199705944,0.494,0.315,3.13772102012417e-12,"9","RPLP2"
"NAP1L12",1.68408964789734e-16,0.85708073019825,0.323,0.17,3.68040951651485e-12,"9","NAP1L1"
"HDLBP1",1.82730663026605e-16,0.781295929146924,0.301,0.154,3.99339590978342e-12,"9","HDLBP"
"RPS182",2.90101481615246e-16,0.702572430176279,0.496,0.318,6.33987777921959e-12,"9","RPS18"
"CALR2",5.43939255786095e-16,0.848019506734952,0.352,0.198,1.18872484959493e-11,"9","CALR"
"PPIA2",7.1883546115824e-16,0.726999215044044,0.594,0.402,1.57094301681522e-11,"9","PPIA"
"RPL292",1.81030259353395e-15,0.701676840480594,0.438,0.263,3.95623528790910e-11,"9","RPL29"
"SNHG51",1.82949837975957e-15,0.681537878108907,0.308,0.163,3.99818575912656e-11,"9","SNHG5"
"RAC11",2.28274796422167e-15,0.577605419709986,0.425,0.249,4.98871740101003e-11,"9","RAC1"
"GAPDHP352",2.43630058138554e-15,0.742438783856296,0.257,0.126,5.32429129055995e-11,"9","GAPDHP35"
"NPC2",3.09661575919917e-15,0.614788338157314,0.337,0.183,6.76734408015387e-11,"9","NPC2"
"NPM1",4.44339680195232e-15,0.643685943192566,0.467,0.288,9.7105993709866e-11,"9","NPM1"
"RPL18A1",4.73953514088155e-15,0.605917661116878,0.628,0.455,1.03577800968825e-10,"9","RPL18A"
"MCL1",5.6975428869264e-15,0.755276948742646,0.259,0.128,1.2451410225089e-10,"9","MCL1"
"RPL322",5.86014997625069e-15,0.659288092964452,0.526,0.349,1.28067717580983e-10,"9","RPL32"
"HSPA5",6.04454507896149e-15,0.964447515346848,0.469,0.288,1.32097488155624e-10,"9","HSPA5"
"NACA4P1",6.2258779475948e-15,0.748838299370657,0.381,0.225,1.36060336666737e-10,"9","NACA4P"
"PDIA6",9.59175020096848e-15,0.751643925090298,0.313,0.167,2.09618108891965e-10,"9","PDIA6"
"SLC25A62",1.3385118271979e-14,0.596516244276077,0.296,0.155,2.9251837471583e-10,"9","SLC25A6"
"RPS233",1.81386549715351e-14,0.5771608831636,0.741,0.586,3.96402165747927e-10,"9","RPS23"
"P4HB1",1.8757399257535e-14,0.756675703741354,0.357,0.205,4.0992420337417e-10,"9","P4HB"
"SQSTM11",1.99606647761146e-14,0.64970626002777,0.428,0.256,4.36220368017208e-10,"9","SQSTM1"
"RPL43",2.83103516168459e-14,0.597387208087322,0.457,0.279,6.18694424234551e-10,"9","RPL4"
"COPA",3.0431606574689e-14,0.699232509675376,0.284,0.151,6.65052330083252e-10,"9","COPA"
"PCBP1",3.46252327217744e-14,0.550886253966063,0.313,0.17,7.56699835901657e-10,"9","PCBP1"
"SERBP1",3.47828257221328e-14,0.514190508894807,0.252,0.123,7.60143873331489e-10,"9","SERBP1"
"RPL372",4.53621798081274e-14,0.619208690381605,0.416,0.252,9.91345077526817e-10,"9","RPL37"
"ARPC1B1",1.29191379441537e-13,0.56939016757755,0.269,0.14,2.82334840631536e-09,"9","ARPC1B"
"RPL263",2.92243545936398e-13,0.592987139308606,0.57,0.398,6.38669045289404e-09,"9","RPL26"
"MYL12B",3.27228907536799e-13,0.575091006178098,0.271,0.141,7.1512605453092e-09,"9","MYL12B"
"HNRNPA3",4.97023875040497e-13,0.49285907435729,0.269,0.139,1.0861959765135e-08,"9","HNRNPA3"
"RPL10A2",7.39186043786748e-13,0.619121369618674,0.521,0.363,1.61541718009156e-08,"9","RPL10A"
